"Neighborhood","City","1st Most Common Venue","2nd Most Common Venue","3rd Most Common Venue","4th Most Common Venue","5th Most Common Venue","6th Most Common Venue","7th Most Common Venue","8th Most Common Venue","9th Most Common Venue","10th Most Common Venue"
"Amager Vest","Copenhagen","Hotel","Park","Supermarket","Pizza Place","Restaurant","Golf Course","Café","Gym / Fitness Center","Grocery Store","Indian Restaurant"
"Amager Øst","Copenhagen","Beach","Bakery","Coffee Shop","Café","Pizza Place","Gym / Fitness Center","Burger Joint","Sushi Restaurant","Grocery Store","Chinese Restaurant"
"Batignolles-Monceau","Paris","French Restaurant","Hotel","Italian Restaurant","Bakery","Restaurant","Bistro","Plaza","Pastry Shop","Japanese Restaurant","Bar"
"Bispebjerg","Copenhagen","Pizza Place","Grocery Store","Café","Convenience Store","Supermarket","Sushi Restaurant","Thai Restaurant","Gym / Fitness Center","Dance Studio","Plaza"
"Bourse","Paris","French Restaurant","Bistro","Wine Bar","Japanese Restaurant","Salad Place","Plaza","Cocktail Bar","Italian Restaurant","Bar","Hotel"
"Brønshøj-Husum","Copenhagen","Bakery","Park","Supermarket","Plaza","Grocery Store","Martial Arts Dojo","Café","Theater","Scandinavian Restaurant","Bus Stop"
"Buttes-Chaumont","Paris","French Restaurant","Bar","Pizza Place","Café","Multiplex","Beer Bar","Bed & Breakfast","Brasserie","Japanese Restaurant","Scenic Lookout"
"Buttes-Montmartre","Paris","French Restaurant","Bar","Bistro","Pizza Place","Italian Restaurant","Restaurant","Plaza","Café","Bookstore","Vegetarian / Vegan Restaurant"
"Entrepôt","Paris","Coffee Shop","French Restaurant","Bistro","Pizza Place","Cocktail Bar","Indian Restaurant","Italian Restaurant","Asian Restaurant","Restaurant","Seafood Restaurant"
"Frederiksberg","Copenhagen","Café","Scandinavian Restaurant","Park","Bakery","French Restaurant","Italian Restaurant","Bar","Sushi Restaurant","Theater","Coffee Shop"
"Gobelins","Paris","Vietnamese Restaurant","Thai Restaurant","Asian Restaurant","Chinese Restaurant","French Restaurant","Hotel","Bakery","Supermarket","Sushi Restaurant","Cantonese Restaurant"
"Hôtel-de-Ville","Paris","French Restaurant","Hotel","Ice Cream Shop","Plaza","Wine Bar","Pastry Shop","Bakery","Tea Room","Garden","Seafood Restaurant"
"Indre By","Copenhagen","Coffee Shop","Restaurant","Scandinavian Restaurant","Cocktail Bar","Café","Wine Bar","Bar","Furniture / Home Store","Plaza","Theater"
"Louvre","Paris","French Restaurant","Hotel","Plaza","Café","Exhibit","Coffee Shop","Japanese Restaurant","Historic Site","Bar","Art Museum"
"Luxembourg","Paris","French Restaurant","Italian Restaurant","Hotel","Wine Bar","Bistro","Tea Room","Bakery","Pastry Shop","Chocolate Shop","Plaza"
"Ménilmontant","Paris","French Restaurant","Bar","Plaza","Bakery","Supermarket","Bistro","Japanese Restaurant","Italian Restaurant","Café","Hotel"
"Nørrebro","Copenhagen","Coffee Shop","Pizza Place","Café","Bakery","Thai Restaurant","Gym / Fitness Center","Playground","Wine Bar","Park","Beer Bar"
"Observatoire","Paris","French Restaurant","Hotel","Italian Restaurant","Bar","Japanese Restaurant","Bakery","Sushi Restaurant","Indian Restaurant","Bistro","Pizza Place"
"Opéra","Paris","French Restaurant","Hotel","Cocktail Bar","Japanese Restaurant","Bistro","Italian Restaurant","Bar","Wine Bar","Bakery","Vegetarian / Vegan Restaurant"
"Palais-Bourbon","Paris","French Restaurant","Hotel","Plaza","Italian Restaurant","Café","History Museum","Historic Site","Garden","Cocktail Bar","Bakery"
"Panthéon","Paris","French Restaurant","Bar","Italian Restaurant","Café","Wine Bar","Bakery","Plaza","Pub","Hotel","Greek Restaurant"
"Passy","Paris","French Restaurant","Bakery","Italian Restaurant","Café","Supermarket","Garden","Park","Pizza Place","Bistro","Gym / Fitness Center"
"Popincourt","Paris","Bar","French Restaurant","Cocktail Bar","Bistro","Italian Restaurant","Restaurant","Vietnamese Restaurant","Beer Bar","Pizza Place","Wine Bar"
"Reuilly","Paris","French Restaurant","Japanese Restaurant","Hotel","Italian Restaurant","Plaza","Supermarket","Bakery","Pizza Place","Asian Restaurant","Restaurant"
"Temple","Paris","French Restaurant","Bistro","Hotel","Café","Art Gallery","Italian Restaurant","Coffee Shop","Burger Joint","Pizza Place","Boutique"
"Valby","Copenhagen","Coffee Shop","Café","Pizza Place","Gym / Fitness Center","Bakery","Grocery Store","Sushi Restaurant","Supermarket","Indian Restaurant","Thai Restaurant"
"Vanløse","Copenhagen","Grocery Store","Convenience Store","Pizza Place","Soccer Field","Supermarket","Train Station","Gym","Scandinavian Restaurant","Café","Bakery"
"Vaugirard","Paris","French Restaurant","Hotel","Italian Restaurant","Bakery","Lebanese Restaurant","Coffee Shop","Korean Restaurant","Park","Japanese Restaurant","Indian Restaurant"
"Vesterbro/Kongens Enghave","Copenhagen","Café","Cocktail Bar","Coffee Shop","Pizza Place","Scandinavian Restaurant","Wine Bar","Italian Restaurant","Music Venue","Park","Bakery"
"Élysée","Paris","Hotel","French Restaurant","Art Gallery","Italian Restaurant","Clothing Store","Bakery","Cosmetics Shop","Salad Place","Japanese Restaurant","Bar"
"Østerbro","Copenhagen","Harbor / Marina","Coffee Shop","Bakery","Playground","Pizza Place","Soccer Stadium","Gym","Ice Cream Shop","Plaza","Platform"
